"Cód..Curso","Curso","Aluno","CH.integralizada","Faixa.CH..","CRA","Faixa.CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","12379f7eba39c350da09796b28454a46","2970","80-100","5,353","4-6","19","9","6,929","240,103","1,979","68,583","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","5f91d12ba780ff616d888635cfd83442","2745","80-100","5,258","4-6","15","7","7,283","336,397","1,959","90,487","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","c722d7917f65bd4dbf84632280d44190","2385","60-80","4,916","4-6","15","7","7,216","318,24","1,81","79,816","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","d200c1c2451ade0a0267121c60e00fb8","3045","80-100","6,507","6-8","13","6","7,537","405,505","3,823","205,667","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","c3fb30e33082bb6bba8ef939cfce0c53","2940","80-100","5,598","4-6","13","6","7,489","392,532","3,128","163,952","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","032b5aca041e1e7a4e58124267032c7a","2925","80-100","6,862","6-8","11","5","7,652","436,696","4,64","264,839","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","957f10c903f0213a59032de22c1e9fcb","3105","80-100","6,77","6-8","11","5","7,38","362,705","4,791","235,478","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","4abba44c230e36174cd51779afde10a5","1530","40-60","5,059","4-6","11","5","7,553","409,759","1,999","108,451","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","9d12b4931980d97ce27a94d64b115126","2430","80-100","6,908","6-8","9","4","7,945","516,593","4,657","302,791","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","5786acfb002bedd8a4e1efa529a9a1c1","2715","80-100","6,957","6-8","9","4","7,738","460,114","5,265","313,059","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","d12de92dff649e0d559eb3e6ea036995","2685","80-100","7,032","6-8","9","4","7,784","472,85","5,434","330,078","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","5cf078212b7c8c1f71261cc8411d21b4","2220","60-80","5,348","4-6","9","4","7,447","381,102","3,281","167,877","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","4fdb2649ec70fc50efd08618fcb8845a","3000","80-100","7,653","6-8","9","4","8,006","533,18","6,682","445,012","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","b2f9b314c5f92dd42f0b596e65f39546","2370","60-80","6,544","6-8","9","4","7,875","497,608","4,262","269,318","28"
"21103113","CIÊNCIAS - BIOLOGIA (LIC) - M","8999e3e5b7b5a6a4d6883af9dc2e791b","1470","40-60","5,166","4-6","9","4","7,494","393,781","2,092","109,938","28"
