"Cód..Curso","Curso","Aluno","CH.integralizada","Faixa.CH..","CRA","Faixa.CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"15121100","ENGENHARIA AGRÍCOLA - D","e2898436fa177c04c5dac39b040c0950","3720","80-100","6,935","6-8","13","6","7,313","378,15","3,598","186,062","20"
"15121100","ENGENHARIA AGRÍCOLA - D","470414e0f3400d34ec04c5808d05f9c6","1020","20-40","2,739","2-4","13","6","8,05","551,037","0,139","9,488","20"
"15121100","ENGENHARIA AGRÍCOLA - D","e10622dd5773ae60406cf8a1f02f55ae","3615","80-100","6,832","6-8","13","6","7,443","408,581","3,14","172,385","20"
"15121100","ENGENHARIA AGRÍCOLA - D","d6de1b38224bc03d0542b1841759778e","1410","20-40","3,353","2-4","13","6","7,6","445,331","0,539","31,586","20"
"15121100","ENGENHARIA AGRÍCOLA - D","76b41fe31091458468f2ec70410be456","3990","80-100","7,24","6-8","13","6","7,561","436,333","3,831","221,081","20"
"15121100","ENGENHARIA AGRÍCOLA - D","ad5b24146e2c957b954d1f92fc77e08d","2880","60-80","4,202","4-6","13","6","6,389","161,219","1,321","33,344","20"
"15121100","ENGENHARIA AGRÍCOLA - D","ace37ad456e1a949919015cc7f267045","1950","40-60","3,577","2-4","13","6","6,748","245,441","0,838","30,472","20"
"15121100","ENGENHARIA AGRÍCOLA - D","42276c7c78b6eeac490038163e02c3da","3225","80-100","5,007","4-6","13","6","6,711","236,838","2,047","72,256","20"
"15121100","ENGENHARIA AGRÍCOLA - D","bb355fbedaa03a9fde3a16d10f4fbf9c","3405","80-100","5,835","4-6","13","6","6,796","256,731","2,354","88,933","20"
"15121100","ENGENHARIA AGRÍCOLA - D","07e2e5dc8733606f29e64283a6c56eaa","3390","80-100","6,458","6-8","13","6","7,144","338,521","2,623","124,26","20"
"15121100","ENGENHARIA AGRÍCOLA - D","8f4771b21ed3c10dd8124a66eb4ed23a","4119","80-100","5,916","4-6","13","6","6,871","274,45","1,133","45,266","20"
"15121100","ENGENHARIA AGRÍCOLA - D","f1af02a00a96c7f105e3db6a04063894","3465","80-100","7,143","6-8","13","6","7,299","374,839","4,323","222,022","20"
"15121100","ENGENHARIA AGRÍCOLA - D","b508259249bd955d1b37541da3a436f6","3540","80-100","6,588","6-8","13","6","7,347","386,164","3,188","167,549","20"
"15121100","ENGENHARIA AGRÍCOLA - D","f615f620a84015eca7ea5e61f6a0264f","3090","60-80","5,854","4-6","12","6","7,207","353,297","1,229","60,268","20"
"15121100","ENGENHARIA AGRÍCOLA - D","3b790a4f891637ca5eecd3a421af7b29","420","0-20","1,603","0-2","12","6","7,157","341,501","0,159","7,589","20"
"15121100","ENGENHARIA AGRÍCOLA - D","9787745290fd77f75f6b17b1b01e2e79","1680","40-60","6,024","6-8","12","6","7,022","309,786","1,74","76,741","20"
"15121100","ENGENHARIA AGRÍCOLA - D","00b4737c65b85e5c669b48734a63ea92","3552","80-100","5,659","4-6","12","6","7,562","436,405","2,233","128,846","20"
"15121100","ENGENHARIA AGRÍCOLA - D","5901c5ad5cd10178b04214ca5a034e12","3390","80-100","7,916","6-8","11","5","8,023","544,722","5,17","351,012","20"
"15121100","ENGENHARIA AGRÍCOLA - D","c6405fa2fd9dcf1f0d39696d0d07da70","3000","60-80","7,174","6-8","11","5","7,333","382,724","3,693","192,77","20"
"15121100","ENGENHARIA AGRÍCOLA - D","c540bcaf1d587aa6a9390e7e8e3ffd6f","4425","80-100","5,615","4-6","11","5","6,6","210,751","0,179","5,714","20"
