"Cód..Curso","Curso","Aluno","CH.integralizada","Faixa.CH..","CRA","Faixa.CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"15121100","ENGENHARIA AGRÍCOLA - D","9ba6b95f98f14a2d3397e6daddae2603","3765","80-100","4,268","4-6","19","9","6,637","219,452","1,25","41,33","20"
"15121100","ENGENHARIA AGRÍCOLA - D","ccaa6a1d1d43c25e7db57675e84fc27f","3525","80-100","5,201","4-6","17","8","7,398","398,088","2,449","131,789","20"
"15121100","ENGENHARIA AGRÍCOLA - D","c7b32c852ed44107a3a6d56da636a80c","4065","80-100","5,175","4-6","17","8","6,369","156,625","1,046","25,732","20"
"15121100","ENGENHARIA AGRÍCOLA - D","2ca5d42edf6d0fb3689f058de8e609b7","1845","40-60","3,399","2-4","17","8","6,319","144,735","0,816","18,682","20"
"15121100","ENGENHARIA AGRÍCOLA - D","cd2eebf91265d3d7bbadf4a0189e7fc8","1905","40-60","3,322","2-4","17","8","6,544","197,557","0,831","25,088","20"
"15121100","ENGENHARIA AGRÍCOLA - D","60ca092b08611b6e87dbd2f7a28468de","1275","20-40","2,601","2-4","16","8","6,66","224,92","0,264","8,917","20"
"15121100","ENGENHARIA AGRÍCOLA - D","98ec031160b235110c04a42e5342779a","2088","40-60","5,81","4-6","15","7","7,737","477,545","1,226","75,694","20"
"15121100","ENGENHARIA AGRÍCOLA - D","886db7c7e68c64f8a910824490a2a930","1341","20-40","4,164","4-6","15","7","6,256","129,916","0,47","9,762","20"
"15121100","ENGENHARIA AGRÍCOLA - D","49b701e6de564cfb6265c43846795b2a","1200","20-40","2,716","2-4","15","7","6,765","249,414","0,431","15,883","20"
"15121100","ENGENHARIA AGRÍCOLA - D","7eacd8619b04d0097f551fc2cf45b1bd","2697","60-80","7,871","6-8","13","6","7,973","532,99","3,519","235,255","20"
"15121100","ENGENHARIA AGRÍCOLA - D","2920fff6464e4fc38f50df2234b985db","2820","60-80","5,822","4-6","13","6","7,122","333,32","2,934","137,331","20"
"15121100","ENGENHARIA AGRÍCOLA - D","9195a4ad73d2741206bfe0965a3a9faa","2685","60-80","5,449","4-6","13","6","6,906","282,664","2,331","95,408","20"
"15121100","ENGENHARIA AGRÍCOLA - D","0f411dbd6e7b2b0c4f00df7ee89a9d13","2415","60-80","6,348","6-8","13","6","7,402","398,943","2,301","123,994","20"
"15121100","ENGENHARIA AGRÍCOLA - D","926376d59e5cd2eb865ab66c2c9832b3","1695","40-60","4,952","4-6","13","6","7,599","445,199","1,244","72,864","20"
"15121100","ENGENHARIA AGRÍCOLA - D","5e5d2deb392557b203a9b8f0ba8f3077","2025","40-60","5,02","4-6","11","5","6,875","275,244","2,066","82,726","20"
"15121100","ENGENHARIA AGRÍCOLA - D","61712797c06af8bd3ee7cd2b99383aa9","1845","40-60","4,706","4-6","11","5","6,874","275,049","1,738","69,552","20"
"15121100","ENGENHARIA AGRÍCOLA - D","d63c46388172afd191b7a970e7c6b0b9","1905","40-60","4,923","4-6","11","5","6,991","302,541","1,757","76,04","20"
"15121100","ENGENHARIA AGRÍCOLA - D","ae20517db4c7e2a14fbb84a13a68dc88","3885","80-100","7,39","6-8","11","5","7,741","478,512","5,048","312,017","20"
"15121100","ENGENHARIA AGRÍCOLA - D","66979959cdb1a74bd32ae01897a3ddd6","990","20-40","3,065","2-4","11","5","6,639","219,996","0,477","15,804","20"
"15121100","ENGENHARIA AGRÍCOLA - D","19a66023fb1ea72a239b84aa14a0929a","2190","40-60","6,429","6-8","10","5","7,608","447,387","2,319","136,346","20"
"15121100","ENGENHARIA AGRÍCOLA - D","25fb98349785267c83e2198cc5f5001c","1095","20-40","4,57","4-6","9","4","6,938","290,156","1,149","48,03","20"
"15121100","ENGENHARIA AGRÍCOLA - D","2075b0bc1fd7b5e8d2b2392650fdfe8c","960","20-40","5,361","4-6","9","4","6,884","277,488","1,551","62,522","20"
"15121100","ENGENHARIA AGRÍCOLA - D","9ebc12b6bf08c8f96e1415b1dd4788c1","1845","40-60","6,073","6-8","9","4","7,25","363,197","2,826","141,59","20"
"15121100","ENGENHARIA AGRÍCOLA - D","d85978bb1f21e9b7a6504486b3155388","1845","40-60","5,856","4-6","9","4","6,915","284,78","2,681","110,392","20"
"15121100","ENGENHARIA AGRÍCOLA - D","cf9e583f8f8f5afc92f9b32f4bd57ddd","2106","40-60","8,29","8-10","9","4","8,442","643,115","2,739","208,639","20"
"15121100","ENGENHARIA AGRÍCOLA - D","9caa747441f6e567566895be91a5cb30","1680","40-60","4,603","4-6","9","4","6,258","130,568","1,799","37,537","20"
"15121100","ENGENHARIA AGRÍCOLA - D","1241c5b07cee93f1722708245979df60","1980","40-60","5,482","4-6","9","4","6,67","227,107","2,675","91,097","20"
"15121100","ENGENHARIA AGRÍCOLA - D","fee017c2f11a465e9825318e782ee56e","1110","20-40","4,505","4-6","9","4","7,592","443,528","0,982","57,369","20"
"15121100","ENGENHARIA AGRÍCOLA - D","5bc2c272ef746a57c324629644d6b6a0","885","20-40","3,21","2-4","9","4","6,166","108,923","0,68","12,016","20"
"15121100","ENGENHARIA AGRÍCOLA - D","36aa36753ae213dbeda1b76869c82874","1875","40-60","6,627","6-8","9","4","7,293","373,281","3,965","202,975","20"
"15121100","ENGENHARIA AGRÍCOLA - D","f90ce007879c7ec6ae6ffa9c170b1d79","2535","60-80","5,645","4-6","9","4","7,308","376,93","2,444","126,035","20"
"15121100","ENGENHARIA AGRÍCOLA - D","1eec9c5b477f656af79249b6cf74e4a8","2490","60-80","7,69","6-8","9","4","7,69","466,496","5,251","318,569","20"
"15121100","ENGENHARIA AGRÍCOLA - D","613c2a097e0778b0f810c502a2d012c2","2355","60-80","6,711","6-8","9","4","7,054","317,179","4,194","188,598","20"
"15121100","ENGENHARIA AGRÍCOLA - D","f284392537130c6b74c3d9fa7c373125","1635","40-60","5,13","4-6","9","4","6,654","223,53","2,22","74,576","20"
"15121100","ENGENHARIA AGRÍCOLA - D","553aaa9416957e124b6d5869eca2f9e5","300","0-20","2,907","2-4","7","3","7,21","353,906","0,298","14,628","20"
