"Cód..Curso","Curso","Aluno","CH.integralizada","Faixa.CH..","CRA","Faixa.CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"13301100","ADMINISTRAÇÃO - D","332f942cbc1bc3ad3f7ef52af3029297","2865","80-100","5,194","4-6","18","9","7,482","380,356","1,657","84,229","199"
"13301100","ADMINISTRAÇÃO - D","4d42833d4634d898c0044bbb2c09e97c","3225","80-100","5,255","4-6","18","9","6,893","273,132","2,355","93,312","199"
"13301100","ADMINISTRAÇÃO - D","ab7f4ca347449fda9a81aa865658d8fa","3165","80-100","6,143","6-8","15","7","8,133","498,735","3,629","222,539","199"
"13301100","ADMINISTRAÇÃO - D","1ab530da4fe3d48b82a7761172e2ab79","3165","80-100","5,697","4-6","14","7","7,189","327,057","3,085","140,334","199"
"13301100","ADMINISTRAÇÃO - D","81860df80a69d4a837d7f3f0f81e9bf6","2385","60-80","5,066","4-6","14","7","6,931","280,089","2,004","80,987","199"
"13301100","ADMINISTRAÇÃO - D","07c202c3c38e4ac2b071df5c0b1ffc37","2985","80-100","4,945","4-6","14","7","7,172","323,922","2,487","112,348","199"
"13301100","ADMINISTRAÇÃO - D","cb039d9670dbd9e1935f29d40017b30f","2085","60-80","4,732","4-6","14","7","6,891","272,784","1,465","58,005","199"
"13301100","ADMINISTRAÇÃO - D","2f9713c2da312dda6d3360d9554a1cac","1920","60-80","5,095","4-6","13","6","6,955","284,404","1,45","59,307","199"
"13301100","ADMINISTRAÇÃO - D","8294744525c25ad0acac5c5016735f56","2685","80-100","5,708","4-6","13","6","6,993","291,349","2,359","98,289","199"
"13301100","ADMINISTRAÇÃO - D","92deb979c55a0c3a40e9050fc406d25b","3165","80-100","5,694","4-6","13","6","7,311","349,292","3,308","158,029","199"
"13301100","ADMINISTRAÇÃO - D","ce33a40dcc5b1439d2841642124a73c7","3165","80-100","6,29","6-8","13","6","7,512","385,748","3,24","166,405","199"
"13301100","ADMINISTRAÇÃO - D","265e879faec6d2ac1dfbbc5523f4221e","2805","80-100","6,452","6-8","12","6","7,61","403,529","3,404","180,504","199"
"13301100","ADMINISTRAÇÃO - D","51e115457182db6d6d17f1c77b1c11a2","1305","40-60","5,331","4-6","12","6","7,69","418,082","1,468","79,827","199"
"13301100","ADMINISTRAÇÃO - D","2cb3e6ccc0188fd5b077a56f3ad9296f","2865","80-100","5,373","4-6","12","6","7,449","374,253","2,708","136,082","199"
"13301100","ADMINISTRAÇÃO - D","3553e7c8c66dbc4ab0b973e4c295bcb1","2670","80-100","5,192","4-6","12","6","7,202","329,448","2,349","107,427","199"
"13301100","ADMINISTRAÇÃO - D","06f71c2fa813de47dd567edfb9a67f77","2745","80-100","6,235","6-8","11","5","7,156","321,09","3,607","161,848","199"
"13301100","ADMINISTRAÇÃO - D","25d2023cd7bc5880fb157de5fd486d48","2805","80-100","6,126","6-8","11","5","7,434","371,632","3,356","167,765","199"
"13301100","ADMINISTRAÇÃO - D","a22459373e558dcec4dab6c9e7d4f506","1515","40-60","3,94","2-4","11","5","6,7","238,115","1,183","42,053","199"
"13301100","ADMINISTRAÇÃO - D","8da8e77ae93989c9c1d18caed86b6244","3165","80-100","6,59","6-8","11","5","7,32","350,844","4,44","212,801","199"
"13301100","ADMINISTRAÇÃO - D","6d5b73293cb5a0774bc1b9bf895969fd","2085","60-80","5,025","4-6","11","5","7,12","314,518","2,258","99,74","199"
"13301100","ADMINISTRAÇÃO - D","d359279d214c3d0441b0763acc49aa5b","2145","60-80","4,606","4-6","11","5","6,856","266,473","1,72","66,84","199"
"13301100","ADMINISTRAÇÃO - D","8f3da8680f2a5c01c51b7bae0052dcb1","2895","80-100","5,865","4-6","11","5","7,157","321,219","3,341","149,968","199"
"13301100","ADMINISTRAÇÃO - D","23bb573102d55e53d1166b81db0db61c","2925","80-100","5,821","4-6","11","5","6,959","285,209","3,468","142,132","199"
"13301100","ADMINISTRAÇÃO - D","0a40ea5dd4407764b0e54ccf10515e65","3195","80-100","6,953","6-8","11","5","7,925","460,943","4,977","289,482","199"
"13301100","ADMINISTRAÇÃO - D","89ae5effaaf6a398accfd3ae10ee746a","3165","80-100","7,114","6-8","10","5","8,462","558,547","5,691","375,628","199"
"13301100","ADMINISTRAÇÃO - D","d0a441077f9778e3d7e4588f9949c6f1","3165","80-100","7,027","6-8","10","5","8,027","479,43","5,398","322,421","199"
"13301100","ADMINISTRAÇÃO - D","707cf43a7ee349c14da8388b9b591db4","2205","60-80","4,917","4-6","10","5","6,839","263,351","2,344","90,278","199"
